in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,0,1,2,3,4,5,6,7,8,9,10,11,12,artist_count,released_year
0.009873834339001646,1.0,0.09575999855783196,0.06398809523809523,0.9563636363636364,0.046632124352331605,0.21739130434782608,0.568870523415978,0.42553191489361697,0.7808219178082192,0.913978494623656,0.8313253012048193,0.31958762886597936,0.0,0.05319148936170213,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2023.0
0.02729490986815972,0.32653061224489793,0.09056799248059604,0.07142857142857142,0.4581818181818182,0.06010362694300518,0.30434782608695654,0.2630853994490358,0.1914893617021276,0.6575342465753424,0.6129032258064517,0.7228915662650603,0.07216494845360824,0.0,0.07446808510638298,0.03225806451612903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023.0
0.025838424726199707,0.7687074829931972,0.09482682331886139,0.13988095238095238,0.7527272727272727,0.09430051813471502,0.30434782608695654,0.6535812672176309,0.5177304964539007,0.38356164383561636,0.3010752688172043,0.4698795180722892,0.17525773195876287,0.0,0.2978723404255319,0.06451612903225806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023.0
0.1480507689106626,0.6802721088435374,0.5424305094480582,0.17261904761904762,0.7527272727272727,0.12953367875647667,0.2608695652173913,0.37741046831955927,0.7446808510638298,0.43835616438356156,0.5806451612903226,0.6987951807228916,0.1134020618556701,0.0,0.08510638297872342,0.20967741935483872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2019.0
0.058675544290389084,0.3401360544217687,0.20538875919495148,0.125,0.48363636363636364,0.09015544041450776,0.32608695652173914,0.2926997245179063,0.5602836879432623,0.5753424657534247,0.20430107526881724,0.7951807228915663,0.14432989690721648,0.6923076923076924,0.08510638297872342,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2023.0
0.04076266858342633,0.6190476190476191,0.1244276134009854,0.09970238095238095,0.7745454545454545,0.09119170984455958,0.3695652173913043,0.6515151515151515,0.5390070921985816,0.9452054794520548,0.6666666666666667,0.5301204819277109,0.1958762886597938,0.0,0.05319148936170213,0.3548387096774194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2023.0
0.05786218245786596,0.3401360544217687,0.4917252137927577,0.050595238095238096,0.8072727272727273,0.04455958549222798,0.2826086956521739,0.2878787878787879,0.5886524822695035,0.6027397260273972,0.849462365591398,0.746987951807229,0.4948453608247423,0.0,0.05319148936170213,0.016129032258064516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2023.0
0.012919212363099855,0.2925170068027211,0.03938436534407772,0.03720238095238095,0.3236363636363636,0.031088082901554404,0.2826086956521739,0.13360881542699726,0.24822695035460995,0.6027397260273972,0.23655913978494625,0.6867469879518073,0.38144329896907214,0.0,0.08510638297872342,0.03225806451612903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2023.0
0.02014489189853784,0.564625850340136,0.06449153879264533,0.08928571428571427,0.7636363636363637,0.049740932642487044,0.2391304347826087,0.65633608815427,0.46099290780141844,0.8493150684931507,0.1935483870967742,0.5783132530120483,0.12371134020618557,0.0,0.26595744680851063,0.1129032258064516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2023.0
0.05527077382866438,0.29931972789115646,0.37499031039121045,0.07291666666666666,0.4,0.06839378238341969,0.2826086956521739,0.2334710743801653,0.7446808510638298,0.7945205479452055,0.5591397849462366,0.40963855421686757,0.21649484536082475,0.0,0.05319148936170213,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2023.0
